差異,Arabica,Robusta
風味,酸、花果香豐富,苦、穀物味、麥味、花生味
抗蟲,弱,強
占比,70%,30%
海拔,高,低
價格,高,低
種植,難,易
咖啡因,低,高
形狀,橢圓,球狀
