index,definition,Solution
FPS,輸對比機1FPS,分析平均低區
抖動,60 fps：vsync含有不是1的比例,
,40-50 fps：vsync含有不是1和2的比例,
,30 fps：Vsyn含有不是2的比列,
,抖動不大於 30%,
大卡,vsync掉12個 = 12 * 16.6ms = 200ms,
卡頓,vsync掉6個 = 6 * 16.6ms = 100ms,
,卡頓10個以下不能比對比機多4個,
,卡頓10個以上不能輸對比機20%,
