縣市,國民黨,民進黨,其他政黨,無
台北市,丁守中,姚文智,古文發 范雲,柯文哲 李錫錕 邱文祥 鄭伊廷 許純美 曾國民 呂秀蓮
新北市,侯友宜,蘇貞昌,,
桃園市,陳學聖,鄭文燦,,朱梅雪
台中市,盧秀燕,林佳龍,,
台南市,高思博,黃偉哲,,陳子敬 林義豐 許忠信 蘇煥智
高雄市,韓國瑜,陳其邁,,吳益政 璩美鳳
