OpenGL版本,OpenGL ES版本,Android 支援版本,Pipe
1.3,1,1,固定渲染管線
1.5,1.1,1,固定渲染管線
2,2,2.2,可編程圖形管線
3.3,3,4.3,可編程圖形管線
