銀行型態,銀行名稱,政府持股比率
純公股銀行,臺灣銀行,100%
純公股銀行,台灣土地銀行,100%
泛公股民營化銀行,合作金庫銀行,35.93%%
泛公股民營化銀行,第一商業銀行,19.34%
泛公股民營化銀行,華南商業銀行,24.52%
泛公股民營化銀行,彰化商業銀行,15.53%
泛公股民營化銀行,台灣中小企業銀行,2.21%
泛公股民營化銀行,兆豐國際商業銀行,19.48%
